" is out of stock!"," ขายหมดแล้ว!"
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","เกิดข้อผิดพลาดการตรวจสอบข้อมูลภายใน กรุณาตรวจสอบว่าได้กรอกข้อมูลที่จำเป็นครบทุกช่องแล้ว โปรดติดต่อเราที่ {email}"
"Must be greater than 0","ต้องมากกว่า 0"
"My Account","บัญชีของฉัน"
"Newsletter preferences have successfully been updated","อัปเดตการตั้งค่าจดหมายข่าวสำเร็จแล้ว"
"No available product variants","ไม่มีตัวเลือกสินค้าให้เลือก"
"No products synchronized for this category. Please come back while online!","ไม่ได้ซิงก์ข้อมูลสินค้าหมวดหมู่นี้ไว้ โปรดกลับมาดูอีกครั้งเมื่อออนไลน์แล้ว!"
"No such configuration for the product. Please do choose another combination of attributes.","ไม่มีการตั้งค่าดังกล่าวสำหรับสินค้านี้ กรุณาเลือกปรับคุณสมบัติใหม่อีกครั้ง"
"OK","ตกลง"
"Only {maxQuantity} products of this type are available!","ในประเภทนี้มีสินค้าให้เลือกเพียง {maxQuantity} ชิ้นเท่านั้น!"
"Or if you will stay on ""Order confirmation"" page, the order will be placed automatically without confirmation, once the internet connection will be back.","หรือ หากคุณอยู่ต่อไปในหน้า ""ยืนยันคำสั่งซื้อ"" คำสั่งซื้อจะดำเนินต่อไปทันทีที่อินเทอร์เน็ตกลับมา โดยไม่ต้องได้รับการยืนยันใดๆ อีก"
"Out of stock!","สินค้าหมด!"
"Out of the stock!","สินค้าหมด!"
"Payment Information","ข้อมูลการชำระเงิน"
"Please configure product bundle options and fix the validation errors","กรุณาตั้งค่าตัวเลือกชุดรวมสินค้าและแก้ไขความถูกต้องของข้อมูล"
"Please configure product custom options and fix the validation errors","กรุณาตั้งค่าตัวเลือกการปรับแต่งสินค้าและแก้ไขความถูกต้องของข้อมูล"
"Please confirm order you placed when you was offline","กรุณายืนยันคำสั่งซื้อที่คุณสร้างไว้ขณะออฟไลน์"
"Please fix the validation errors","กรุณาแก้ไขความถูกต้องของข้อมูล"
"Please select the field which You like to sort by","กรุณาเลือกฟิลด์ข้อมูลที่คุณต้องการใช้จัดเรียง"
"Please wait ...","กรุณารอสักครู่ ..."
"Proceed to checkout","ไปยังหน้า Checkout"
"Processing order...","กำลังประมวลผลคำสั่งซื้อ..."
"Product has been added to the cart!","สินค้าถูกเพิ่มเข้ารถเข็นแล้ว!"
"Product price is unknown, product cannot be added to the cart!","ยังไม่ทราบราคาสินค้า จึงเพิ่มเข้ารถเข็นไม่ได้!"
"Product quantity has been updated!","อัปเดตจำนวนสินค้าแล้ว!"
"Product {productName} has been added to the compare!","สินค้า {productName} ถูกเพิ่มในการเปรียบเทียบแล้ว!"
"Product {productName} has been added to wishlist!","สินค้า {productName} ถูกเพิ่มในรายการที่อยากได้แล้ว!"
"Product {productName} has been removed from compare!","สินค้า {productName} ถูกนำออกจากการเปรียบเทียบแล้ว!"
"Product {productName} has been removed from wishlist!","สินค้า {productName} ถูกนำออกจากรายการที่อยากได้แล้ว!"
"Quantity available offline","จำนวน (โหมดออฟไลน์)"
"Quantity available","จำนวน (เหลืออยู่ {qty})"
"Quantity must be above 0","จำนวน ต้องมากกว่า 0"
"Quantity must be below {quantity}","จำนวน ต้องไม่เกิน {quantity}"
"Quantity must be positive integer","จำนวน ต้องเป็นจำนวนเต็มบวก"
"Registering the account ...","กำลังลงทะเบียนบัญชี ..."
"Reset password feature does not work while offline!","ระบบรีเซ็ตรหัสผ่านไม่สามารถใช้ได้ขณะออฟไลน์!"
"Review","รีวิว"
"Reviews","รีวิว"
"Select 0","เลือก 0"
"Select 1","เลือก 1"
"Shopping cart is empty. Please add some products before entering Checkout","รถเข็นว่างเปล่า กรุณาเพิ่มสินค้าก่อนเข้าสู่ขั้นตอน Checkout"
"Some of the ordered products are not available!","สินค้าที่สั่งซื้อบางรายการไม่พร้อมจำหน่าย!"
"Stock check in progress, please wait while available stock quantities are checked","กำลังตรวจสอบสต็อก กรุณารอการตรวจสอบจำนวนสินค้าสักครู่"
"Subtotal incl. tax","ยอดรวมภาษี"
"Summary","สรุป"
"The product is out of stock and cannot be added to the cart!","สินค้านี้ขายหมดแล้ว และไม่สามารถเพิ่มเข้ารถเข็นได้!"
"The product, category or CMS page is not available in Offline mode. Redirecting to Home.","หน้าสินค้า หมวดหมู่ หรือ CMS ไม่สามารถใช้ได้ในโหมดออฟไลน์ กำลังพาคุณไปยังหน้าหลัก"
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","ระบบของเรามีความไม่แน่นอนเรื่องจำนวนในสต็อก (เปลี่ยนแปลงเร็ว) สินค้าได้ถูกเพิ่มเข้ารถเข็นเพื่อเป็นการจองแล้ว"
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","ไม่พบการเชื่อมต่ออินเทอร์เน็ต คุณยังคงสั่งซื้อได้ต่อไป เราจะแจ้งให้คุณทราบหากมีสินค้าที่สั่งซื้อแต่ไม่พร้อมจำหน่าย เนื่องจากตอนนี้เราไม่สามารถตรวจสอบให้ได้"
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","ระบบนี้ยังไม่ได้พัฒนาขึ้น! กรุณาเข้าชมโรดแมปของเราได้ที่ https://github.com/DivanteLtd/vue-storefront/issues!"
"Thumbnail","ภาพขนาดย่อ"
"Type what you are looking for...","พิมพ์สิ่งที่คุณกำลังมองหา..."
"Unexpected authorization error. Check your Network conection.","เกิดข้อผิดพลาดที่ไม่คาดคิดในการขออนุญาต กรุณาตรวจสอบการเชื่อมต่อเครือข่ายของคุณ"
"Unhandled error, wrong response format!","เกิดข้อผิดพลาดที่ไม่คาดคิด ข้อมูลตอบกลับผิดรูปแบบ!"
"Vue Storefront", "Vue Storefront"
"You are going to pay for this order upon delivery.","คุณจะชำระเงินเมื่อคำสั่งซื้อนี้จัดส่งที่ปลายทาง"
"You are logged in!","คุณเข้าสู่ระบบแล้ว!"
"You are to pay for this order upon delivery.","คุณจะชำระเงินเมื่อคำสั่งซื้อนี้จัดส่งที่ปลายทาง"
"You need to be logged in to see this page","คุณต้องเข้าสู่ระบบเพื่อดูหน้านี้"
"You submitted your review for moderation.","คุณได้ส่งรีวิวเข้ารับการตรวจสอบแล้ว"
"You're logged out","คุณออกจากระบบแล้ว"
"email","อีเมล"
"have as many","มีจำนวนมากเท่า"
"login","เข้าสู่ระบบ"
"most you may purchase","มากเท่าที่คุณจะซื้อได้"
"not authorized","ไม่ได้รับอนุญาต"
"password","รหัสผ่าน"
"to account","ไปยังบัญชี"
